# Wavelength	Extinction
# (nm)		(mag)
1079.000000	0.1785
1080.000000	0.1785
1081.000000	0.1785
1082.000000	0.1785
1083.000000	0.1785
1084.000000	0.1785
1085.000000	0.1785
1086.000000	0.1785
1087.000000	0.1785
1088.000000	0.1785
1089.000000	0.1785
1090.000000	0.1785
1091.000000	0.1785
1092.000000	0.1785
1093.000000	0.1785
1094.000000	0.1785
1095.000000	0.1785
1096.000000	0.1785
1097.000000	0.172
1098.000000	0.172
1099.000000	0.172
1100.000000	0.172
1101.000000	0.172
1102.000000	0.172
1103.000000	0.172
1104.000000	0.172
1105.000000	0.172
1106.000000	0.172
1107.000000	0.172
1108.000000	0.172
1109.000000	0.172
1110.000000	0.172
1111.000000	0.172
1112.000000	0.172
1113.000000	0.172
1114.000000	0.172
1115.000000	0.172
1116.000000	0.172
1117.000000	0.172
1118.000000	0.172
1119.000000	0.172
1120.000000	0.172
1121.000000	0.172
1122.000000	0.172
1123.000000	0.1658
1124.000000	0.1658
1125.000000	0.1658
1126.000000	0.1658
1127.000000	0.1658
1128.000000	0.1658
1129.000000	0.1658
1130.000000	0.1658
1131.000000	0.1658
1132.000000	0.1658
1133.000000	0.1658
1134.000000	0.1658
1135.000000	0.1658
1136.000000	0.1658
1137.000000	0.1658
1138.000000	0.1658
1139.000000	0.1658
1140.000000	0.1658
1141.000000	0.1658
1142.000000	0.1658
1143.000000	0.1658
1144.000000	0.1658
1145.000000	0.1658
1146.000000	0.1658
1147.000000	0.1658
1148.000000	0.1658
1149.000000	0.1598
1150.000000	0.1598
1151.000000	0.1598
1152.000000	0.1598
1153.000000	0.1598
1154.000000	0.1598
1155.000000	0.1598
1156.000000	0.1598
1157.000000	0.1598
1158.000000	0.1598
1159.000000	0.1598
1160.000000	0.1598
1161.000000	0.1598
1162.000000	0.1598
1163.000000	0.1598
1164.000000	0.1598
1165.000000	0.1598
1166.000000	0.1598
1167.000000	0.1598
1168.000000	0.1598
1169.000000	0.1598
1170.000000	0.1598
1171.000000	0.1598
1172.000000	0.1598
1173.000000	0.1598
1174.000000	0.1598
1175.000000	0.154
1176.000000	0.154
1177.000000	0.154
1178.000000	0.154
1179.000000	0.154
1180.000000	0.154
1181.000000	0.154
1182.000000	0.154
1183.000000	0.154
1184.000000	0.154
1185.000000	0.154
1186.000000	0.154
1187.000000	0.154
1188.000000	0.154
1189.000000	0.154
1190.000000	0.154
1191.000000	0.154
1192.000000	0.154
1193.000000	0.154
1194.000000	0.154
1195.000000	0.154
1196.000000	0.154
1197.000000	0.154
1198.000000	0.154
1199.000000	0.154
1200.000000	0.154
1201.000000	0.154
1202.000000	0.154
1203.000000	0.1485
1204.000000	0.1485
1205.000000	0.1485
1206.000000	0.1485
1207.000000	0.1485
1208.000000	0.1485
1209.000000	0.1485
1210.000000	0.1485
1211.000000	0.1485
1212.000000	0.1485
1213.000000	0.1485
1214.000000	0.1485
1215.000000	0.1485
1216.000000	0.1485
1217.000000	0.1485
1218.000000	0.1485
1219.000000	0.1485
1220.000000	0.1485
1221.000000	0.1451
1222.000000	0.1451
1223.000000	0.1451
1224.000000	0.1451
1225.000000	0.1451
1226.000000	0.1451
1227.000000	0.1451
1228.000000	0.1451
1229.000000	0.1451
1230.000000	0.1451
1231.000000	0.1432
1232.000000	0.1432
1233.000000	0.1432
1234.000000	0.1432
1235.000000	0.1432
1236.000000	0.1432
1237.000000	0.1432
1238.000000	0.1432
1239.000000	0.1432
1240.000000	0.1432
1241.000000	0.1432
1242.000000	0.1432
1243.000000	0.1432
1244.000000	0.1432
1245.000000	0.1432
1246.000000	0.1432
1247.000000	0.1432
1248.000000	0.1432
1249.000000	0.1432
1250.000000	0.1432
1251.000000	0.1432
1252.000000	0.1432
1253.000000	0.1432
1254.000000	0.1432
1255.000000	0.1432
1256.000000	0.1432
1257.000000	0.1432
1258.000000	0.1432
1259.000000	0.1381
1260.000000	0.1381
1261.000000	0.1381
1262.000000	0.1381
1263.000000	0.1381
1264.000000	0.1381
1265.000000	0.1381
1266.000000	0.1381
1267.000000	0.1381
1268.000000	0.1381
1269.000000	0.1381
1270.000000	0.1381
1271.000000	0.1381
1272.000000	0.1381
1273.000000	0.1381
1274.000000	0.1381
1275.000000	0.1381
1276.000000	0.1381
1277.000000	0.1381
1278.000000	0.1381
1279.000000	0.1381
1280.000000	0.1381
1281.000000	0.1381
1282.000000	0.1342
1283.000000	0.1342
1284.000000	0.1342
1285.000000	0.1342
1286.000000	0.1342
1287.000000	0.1342
1288.000000	0.1342
1289.000000	0.1332
1290.000000	0.1332
1291.000000	0.1332
1292.000000	0.1332
1293.000000	0.1332
1294.000000	0.1332
1295.000000	0.1332
1296.000000	0.1332
1297.000000	0.1332
1298.000000	0.1332
1299.000000	0.1332
1300.000000	0.1332
1301.000000	0.1332
1302.000000	0.1332
1303.000000	0.1332
1304.000000	0.1332
1305.000000	0.1332
1306.000000	0.1332
1307.000000	0.1332
1308.000000	0.1332
1309.000000	0.1332
1310.000000	0.1332
1311.000000	0.1332
1312.000000	0.1332
1313.000000	0.1332
1314.000000	0.1332
1315.000000	0.1332
1316.000000	0.1332
1317.000000	0.1332
1318.000000	0.1332
1319.000000	0.1284
1320.000000	0.1284
1321.000000	0.1284
1322.000000	0.1284
1323.000000	0.1284
1324.000000	0.1284
1325.000000	0.1284
1326.000000	0.1284
1327.000000	0.1284
1328.000000	0.1284
1329.000000	0.1284
1330.000000	0.1284
1331.000000	0.1284
1332.000000	0.1284
1333.000000	0.1284
1334.000000	0.1284
1335.000000	0.1284
1336.000000	0.1284
1337.000000	0.1284
1338.000000	0.1284
1339.000000	0.1284
1340.000000	0.1284
1341.000000	0.1284
1342.000000	0.1284
1343.000000	0.1284
1344.000000	0.1284
1345.000000	0.1284
1346.000000	0.1284
1347.000000	0.1284
1348.000000	0.1284
1349.000000	0.1239
1350.000000	0.1239
1351.000000	0.1239
1352.000000	0.1239
1353.000000	0.1239
1354.000000	0.1239
1355.000000	0.1239
1356.000000	0.1239
1357.000000	0.1239
1358.000000	0.1239
1359.000000	0.1239
1360.000000	0.1239
1361.000000	0.1239
1362.000000	0.1239
1363.000000	0.1239
1364.000000	0.1239
1365.000000	0.1239
1366.000000	0.1239
1367.000000	0.1239
1368.000000	0.1239
1369.000000	0.1239
1370.000000	0.1239
1371.000000	0.1239
1372.000000	0.1239
1373.000000	0.1239
1374.000000	0.1239
1375.000000	0.1239
1376.000000	0.1239
1377.000000	0.1239
1378.000000	0.1239
1379.000000	0.1239
1380.000000	0.1239
1381.000000	0.1195
1382.000000	0.1195
1383.000000	0.1195
1384.000000	0.1195
1385.000000	0.1195
1386.000000	0.1195
1387.000000	0.1195
1388.000000	0.1195
1389.000000	0.1195
1390.000000	0.1195
1391.000000	0.1195
1392.000000	0.1195
1393.000000	0.1195
1394.000000	0.1195
1395.000000	0.1195
1396.000000	0.1195
1397.000000	0.1195
1398.000000	0.1195
1399.000000	0.1195
1400.000000	0.1195
1401.000000	0.1195
1402.000000	0.1195
1403.000000	0.1195
1404.000000	0.1195
1405.000000	0.1195
1406.000000	0.1195
1407.000000	0.1195
1408.000000	0.1195
1409.000000	0.1195
1410.000000	0.1195
1411.000000	0.1195
1412.000000	0.1195
1413.000000	0.1152
1414.000000	0.1152
1415.000000	0.1152
1416.000000	0.1152
1417.000000	0.1152
1418.000000	0.1152
1419.000000	0.1152
1420.000000	0.1152
1421.000000	0.1152
1422.000000	0.1152
1423.000000	0.1152
1424.000000	0.1152
1425.000000	0.1152
1426.000000	0.1152
1427.000000	0.1152
1428.000000	0.1152
1429.000000	0.1152
